Name,Party,State,District,Year,Incumbent,Winner,Raised,Spent,Cash on Hand,Small Individual Contributions,Large Individual Contributions,PAC Contributions,Candidate self-financing,Other,Full Disclosure,Incomplete Disclosure,No Disclosure
John Katko,R,NY,24,2020,True,True,3821107,3597234,272061,342228,1399458,1791930,0,287491,1421986,7750,33160
Dana Balter,D,NY,24,2020,False,False,3212469,3230808,5647,671731,1925731,354369,0,260638,1217593,15400,36828
Joseph D Morelle,D,NY,25,2020,True,True,1375366,1274426,160175,40564,424700,864891,0,45210,354434,0,500
George Mitris,R,NY,25,2020,False,False,301376,279047,22329,4928,19724,0,276724,0,4468,0,14556
Kevin Wilson,L,NY,25,2020,False,False,5128,3417,1711,2530,2303,0,295,0,2303,0,0
Brian M Higgins,D,NY,26,2020,True,True,1124168,984106,1111052,40634,269785,814786,0,-1036,196684,0,3400
Chris Jacobs,R,NY,27,2020,True,True,2147101,2084271,62829,76827,1164092,346698,561000,-1516,2054815,9900,23280
Nate McMurray,D,NY,27,2020,False,False,1150058,1097111,63761,413770,655798,79691,0,800,247830,1330,750
Duane Whitmer,L,NY,27,2020,False,False,36056,36056,0,9088,5788,0,21180,0,5787,0,0
Thom Tillis,R,NC,S1,2020,True,True,25327590,24979096,834909,5435949,13513547,5059103,0,1318990,13177514,151989,25207
Cal Cunningham,D,NC,S1,2020,False,False,51249732,51076028,173704,17298538,31179966,865786,163,1905279,24268059,62485,802025
G K Butterfield,D,NC,01,2020,True,True,1032869,880420,663957,14904,277825,743025,0,-2885,211425,1300,3050
Sandy Smith,R,NC,01,2020,False,False,1458375,1437805,20570,820809,536363,9650,90436,1117,518154,6070,5676
Deborah Ross,D,NC,02,2020,False,True,2268381,1816923,451458,327121,1435752,399988,0,105520,824794,625,0
Alan Swain,R,NC,02,2020,False,False,119664,119435,229,15836,78560,12750,12525,-6,78560,0,0
Japheth Matemu,L,NC,02,2020,False,False,625,54,0,40,585,0,0,0,585,0,0
Greg Murphy,R,NC,03,2020,True,True,1767790,1505559,262231,106737,851421,560847,0,248784,984204,4950,1950
David Price,D,NC,04,2020,True,True,1161738,1014872,313316,126903,378425,660300,0,-3890,376702,0,0
Virginia Foxx,R,NC,05,2020,True,True,1858388,1944629,2340884,74926,982913,808950,0,-8402,1014301,0,119350
David Wilson Brown,D,NC,05,2020,False,False,61596,60668,-228,26465,30093,4000,0,1039,40178,500,1600
Kathy Manning,D,NC,06,2020,False,True,2002284,1695596,312340,157055,1513027,289412,67,42723,748532,500,0
Joseph Lee Haywood,R,NC,06,2020,False,False,73878,58342,15537,22864,41805,8200,10,1000,17760,0,22335
Jennyfer Bucardo,I,NC,06,2020,False,False,750,759,10,550,0,0,200,0,0,0,0
David Rouzer,R,NC,07,2020,True,True,1628458,1038883,1428500,49761,525266,891729,0,161703,642731,5600,1648
Christopher Ward,D,NC,07,2020,False,False,16260,4119,7249,3575,600,0,12085,0,600,0,0
Richard Hudson,R,NC,08,2020,True,True,4135872,4359009,230918,150050,1573713,2186149,0,225960,1450504,500,18666
