Name,Party,State,District,Year,Incumbent,Winner,Raised,Spent,Cash on Hand,Small Individual Contributions,Large Individual Contributions,PAC Contributions,Candidate self-financing,Other,Full Disclosure,Incomplete Disclosure,No Disclosure
Doug Jones,D,AL,S1,2020,True,False,30640635,32297767,474033,12840720,14632158,1943850,0,1223905,10457835,86483,3100
Tommy Tuberville,R,AL,S1,2020,False,True,8537218,8363739,173480,1531497,6168170,777079,50200,10273,6730679,126770,223223
Michael Parrish,I,AL,S1,2020,False,False,5116,2639,2441,116,0,0,5000,0,0,0,0
Jerry Carl,R,AL,01,2020,False,True,1971321,1859349,111973,44580,999616,387000,434656,105470,1295869,49475,12650
James Averhart,D,AL,01,2020,False,False,80095,78973,1122,12895,37955,0,29245,0,44427,0,24725
Barry Moore,R,AL,02,2020,False,True,650807,669368,-13633,62208,346329,230282,11500,489,445102,31235,9700
Phyllis Harvey-Hall,D,AL,02,2020,False,False,56050,55988,0,15307,27105,2032,10575,1030,1500,400,15463
Mike D Rogers,R,AL,03,2020,True,True,1193111,1218564,502234,5315,438054,744734,0,5009,436004,0,0
Adia Winfrey,D,AL,03,2020,False,False,50273,40971,43,36483,10430,108,700,2552,9930,500,0
Robert B Aderholt,R,AL,04,2020,True,True,1255076,1323812,647004,61459,479663,739300,0,-25346,453551,1064,8209
Rick Neighbors,D,AL,04,2020,False,False,46068,45034,1034,7932,25090,9505,3781,-239,18939,0,250
Mo Brooks,R,AL,05,2020,True,True,655365,210045,1137501,21804,395551,250020,0,-12010,377001,14000,1250
Gary Palmer,R,AL,06,2020,True,True,907219,909082,370688,1095,468075,397600,0,40449,433209,0,143850
Terri Sewell,D,AL,07,2020,True,True,2168165,1495957,2243480,27663,379899,1760803,0,-200,274948,16000,22500
Dan Sullivan,R,AK,S1,2020,True,True,10472845,9999482,731743,884040,6321539,2462069,0,805197,4443372,18375,52500
Al Gross,I,AK,S1,2020,False,False,19393431,19366600,26831,6771954,11360792,359102,732431,169152,9227839,41057,7850
Don Young,R,AK,01,2020,True,True,1922901,1790448,249173,170093,793323,839095,0,120391,659216,3300,21700
Alyse Galvin,I,AK,01,2020,False,False,5178452,5088103,96594,1269203,3526935,340487,4372,37456,2754754,5362,625
Mark Kelly,D,AZ,S1,2020,False,True,99846963,98444440,1402523,47330956,50902280,837391,0,776337,35962735,142420,11259
Martha McSally,R,AZ,S1,2020,True,False,71385147,72193637,115304,26890386,41330734,2727159,0,436868,36453890,126278,5308850
Tom O'Halleran,D,AZ,01,2020,True,True,3381353,3324138,63147,238333,1593792,1434694,0,114534,1153644,16680,0
Tiffany Shedd,R,AZ,01,2020,False,False,1675618,1615704,63347,123157,1039568,257700,72706,182487,1076760,38676,91785
Ann Kirkpatrick,D,AZ,02,2020,True,True,1849862,1384765,537288,415731,766926,690001,0,-22796,279762,2800,0
Brandon Martin,R,AZ,02,2020,False,False,374821,381067,-7418,62710,311330,6000,0,-5220,203207,8800,21488
Raul M Grijalva,D,AZ,03,2020,True,True,843560,655507,226209,193493,395667,264095,0,-9695,157452,40,0
Daniel Wood,R,AZ,03,2020,False,False,41422,41962,-539,16259,18883,6800,0,-519,13433,1000,4450
Paul Gosar,R,AZ,04,2020,True,True,622151,729892,13459,141905,249199,240092,0,-9045,247911,0,56735
Delina DiSanto,D,AZ,04,2020,False,False,77168,79758,5974,22212,51374,1072,0,2509,20780,0,28841
Andy Biggs,R,AZ,05,2020,True,True,1602181,1236380,651047,634093,678865,363780,0,-74556,660067,7490,5645
Joan Greene,D,AZ,05,2020,False,False,356069,209789,147117,139249,78346,1048,139236,-1810,75000,0,3595
David Schweikert,R,AZ,06,2020,True,True,2265329,2249979,59582,107948,1325194,680536,0,151651,1179864,16550,28211
Hiral Tipirneni,D,AZ,06,2020,False,False,6301073,6366702,34973,1190335,4092199,646539,26406,345595,2932537,29534,1000
Tom Lewellen,I,AZ,06,2020,False,False,11685,11000,-3293,415,3000,0,10200,-1930,0,0,3000
Ruben Gallego,D,AZ,07,2020,True,True,1811754,1653961,616971,334025,744470,745509,0,-12250,231071,126,3050
Josh Barnett,R,AZ,07,2020,False,False,28093,17883,10210,4183,17885,3375,2650,0,16850,500,0
Debbie Lesko,R,AZ,08,2020,True,True,1605245,987453,688633,367870,582207,397032,0,258137,612768,4340,433
Michael Muscato,D,AZ,08,2020,False,False,357906,347734,10172,162778,172212,4103,18869,-57,117942,40,3600
Greg Stanton,D,AZ,09,2020,True,True,2001619,1001350,1044655,170847,1179987,655961,0,-5175,575631,9925,23600
Dave Giles,R,AZ,09,2020,False,False,130480,129935,546,42615,13314,0,69552,5000,5400,1500,1925
Tom Cotton,R,AR,S1,2020,True,True,12801063,6658318,6396953,3882745,4276328,1755120,0,2886868,4764521,53313,239781
Ricky Dale Harrington Jr,L,AR,S1,2020,False,False,79564,64037,15527,23856,54858,100,0,750,61844,0,2500
Daniel Whitfield,I,AR,S1,2020,False,False,68536,48227,20309,54359,14766,0,0,-589,6221,0,8545
Rick Crawford,R,AR,01,2020,True,True,966801,1095518,182708,37303,367990,556336,0,5172,357515,4050,4425
French Hill,R,AR,02,2020,True,True,3384490,3020491,410779,102118,1598588,1531282,0,152502,1773313,3250,450
Joyce Elliott,D,AR,02,2020,False,False,3482463,3478733,3730,1376888,1769570,373403,100,-37498,1335421,13794,250
Steve Womack,R,AR,03,2020,True,True,1127158,923120,1363257,63990,484990,568221,0,9957,482190,0,300
Celeste Williams,D,AR,03,2020,False,False,355294,355294,0,154884,184727,4500,0,11183,78384,3353,0
Bruce Westerman,R,AR,04,2020,True,True,1407770,1102573,976806,58586,609363,748630,0,-8809,514838,7350,39975
William Hanson,D,AR,04,2020,False,False,109767,111683,-1916,7934,31733,0,0,70100,37000,0,1200
Doug LaMalfa,R,CA,01,2020,True,True,1219556,1155945,91242,54113,643015,406260,0,116169,725548,6750,2550
Audrey Denney,D,CA,01,2020,False,False,2461769,2457661,4601,851220,1482953,116688,0,10909,933255,2400,8612
Jared Huffman,D,CA,02,2020,True,True,899419,797753,922442,55808,479514,377125,0,-13028,327536,0,0
Dale Mensing,R,CA,02,2020,False,False,5921,2197,5391,0,400,5000,521,0,400,0,0
John Garamendi,D,CA,03,2020,True,True,1054066,667320,1111122,31566,411196,618324,0,-7020,384114,7830,1350
Tamika Hamilton,R,CA,03,2020,False,False,397099,384584,12515,173071,208919,14405,100,605,259578,750,225
Tom McClintock,R,CA,04,2020,True,True,2053363,2107248,171001,518047,1135326,258985,0,141004,1859941,5500,5700
Brynne Kennedy,D,CA,04,2020,False,False,3006020,3002532,3489,444894,1887644,255159,411680,6642,979012,7775,0
Mike Thompson,D,CA,05,2020,True,True,2208136,2022751,1746172,146982,591047,1467431,0,2676,515355,0,0
Doris Matsui,D,CA,06,2020,True,True,1019605,1073529,269411,6570,268240,748750,0,-3955,131740,2800,0
Christine Bish,R,CA,06,2020,False,False,44772,44554,965,8202,3624,0,32447,500,100,0,0
Ami Bera,D,CA,07,2020,True,True,1757748,1053444,2029018,144287,816652,864309,0,-67499,360371,1500,1456
Buzz Patterson,R,CA,07,2020,False,False,43876,29614,3532,14288,27138,0,2500,-50,26837,0,300
Jay Obernolte,R,CA,08,2020,False,True,1861647,1792064,69583,106895,314272,155998,1288000,-3518,98865,3100,1250
Chris Bubser,D,CA,08,2020,False,False,1858001,1856613,1388,216396,1341256,173979,134030,-7661,569674,0,6050
Jerry McNerney,D,CA,09,2020,True,True,1177959,1112543,234173,99538,602997,480090,0,-4666,575776,5850,500
Tony Amador,R,CA,09,2020,False,False,52175,52175,0,9435,26700,5000,11090,-50,26700,0,0
Josh Harder,D,CA,10,2020,True,True,7400135,3950613,3469763,817696,5252602,866939,0,462897,2404876,9667,0
Ted Howze,R,CA,10,2020,False,False,1426552,1721882,14241,238422,763304,56986,343500,24341,791667,1500,11200
Mark Desaulnier,D,CA,11,2020,True,True,610394,440537,481388,46152,163466,402277,0,-1500,96610,0,2250
Nisha Sharma,R,CA,11,2020,False,False,174954,171870,3085,12316,150029,12500,0,108,137414,2000,26869
Nancy Pelosi,D,CA,12,2020,True,True,27359508,22064953,6299373,15471503,8841636,1874066,0,1172303,7237841,12876,6800
Shahid Buttar,D,CA,12,2020,False,False,1672876,1650467,22417,1067447,619664,3879,5514,-23628,302289,0,0
Barbara Lee,D,CA,13,2020,True,True,1828213,1750142,210374,388842,958863,479849,0,659,360224,4945,349
Nikka Piterman,R,CA,13,2020,False,False,9839,9904,1293,3671,2452,0,4052,-338,1750,0,0
Jackie Speier,D,CA,14,2020,True,True,942934,919599,1779772,31338,627621,269419,0,14556,601041,5600,0
Eric Swalwell,D,CA,15,2020,True,True,2807774,3977839,502929,410205,1899885,521650,0,-23966,1824045,42912,17420
Jim Costa,D,CA,16,2020,True,True,2135525,1835244,410171,7305,899681,1233453,0,-4915,781801,15116,6800
Kevin Cookingham,R,CA,16,2020,False,False,265364,265364,0,36183,214182,15000,0,0,209429,0,100
Ro Khanna,D,CA,17,2020,True,True,3837982,2455457,2261128,458130,3448779,0,0,-68928,3129636,24350,6350
Ritesh Tandon,R,CA,17,2020,False,False,175536,175015,522,37732,130253,7550,2,0,128851,1750,0
Anna Eshoo,D,CA,18,2020,True,True,2114909,2059158,552799,42953,1086249,1000590,0,-14882,517745,1000,0
Rishi Kumar,D,CA,18,2020,False,False,674383,691938,-17555,27381,512607,0,140000,-5605,473272,36685,1250
Zoe Lofgren,D,CA,19,2020,True,True,1755555,1731700,1160537,36303,488175,538590,0,692487,727283,800,24730
Justin Aguilera,R,CA,19,2020,False,False,9112,11542,1441,1612,2500,5000,0,0,2500,0,0
Jimmy Panetta,D,CA,20,2020,True,True,2009894,1592671,1175357,64880,664156,1281097,0,-239,616352,10150,0
Jeff Gorman,R,CA,20,2020,False,False,67634,64947,2687,13296,53338,0,1000,0,50720,0,0
TJ Cox,D,CA,21,2020,True,False,5695157,5694005,55943,776359,3470840,1148731,0,299227,2855174,9150,20225
David Valadao,R,CA,21,2020,False,True,4067880,3982587,164211,647336,2203485,634109,0,582951,2701210,2250,15840
Devin Nunes,R,CA,22,2020,True,True,26825212,20156093,10908033,14122078,11452939,1014288,0,235907,8583039,87798,502084
Phil Arballo,D,CA,22,2020,False,False,5091451,5062185,29266,2834415,2265863,71072,0,-79899,868603,5157,5166
Kevin McCarthy,R,CA,23,2020,True,True,27780644,24265583,4802133,13373107,7880664,1686635,0,4840238,8514232,65406,134181
Kim Mangone,D,CA,23,2020,False,False,1671101,1665373,5728,1175952,482438,27578,1409,-16276,357482,650,2925
Salud Carbajal,D,CA,24,2020,True,True,2117836,1451622,1400705,121813,1382967,638538,0,-25481,1337813,2800,0
Andy Caldwell,R,CA,24,2020,False,False,1298798,1268199,34587,191833,1103961,9500,0,-6496,1026045,20452,44049
Mike Garcia,R,CA,25,2020,True,True,9962507,9584648,377858,4192678,4257666,897272,786,614104,4088567,43428,12036
Christy Smith,D,CA,25,2020,False,False,5977734,5808477,169258,1532929,3195344,998331,5600,245530,2129954,9100,19364
Julia Brownley,D,CA,26,2020,True,True,1976695,1314677,3113430,279992,858103,721250,0,117350,364603,4410,0
Ronda Kennedy,R,CA,26,2020,False,False,246226,67208,177973,150690,86624,0,7912,1000,82624,4150,0
Judy Chu,D,CA,27,2020,True,True,1213706,956298,2781770,45884,582572,591600,0,-6350,604961,0,1750
Johnny Nalbandian,R,CA,27,2020,False,False,39584,39159,462,5144,6690,5000,22750,0,2200,0,0
Adam Schiff,D,CA,28,2020,True,True,19382855,10188664,13908271,11427347,6153196,509394,0,1292919,5109853,35410,130340
Eric Early,R,CA,28,2020,False,False,4085322,3790027,295295,2754098,1262904,7373,84000,-23051,838928,11176,289117
Tony Cardenas,D,CA,29,2020,True,True,1419697,1213588,529789,13133,404687,1007850,0,-5973,133085,48,250
Angelica Duenas,3,CA,29,2020,False,False,78083,76627,1456,44542,25645,5550,2347,0,25070,250,200
Brad Sherman,D,CA,30,2020,True,True,1513374,1111826,2624621,12705,494848,697049,250000,58771,425673,2500,0
Pete Aguilar,D,CA,31,2020,True,True,2475748,1861434,1839594,541021,825039,1090525,0,19163,385044,4260,670
Agnes Gibboney,R,CA,31,2020,False,False,138687,127907,10780,69085,63552,6050,0,0,62652,1000,0
Grace Napolitano,D,CA,32,2020,True,True,478426,251047,533330,2407,100884,374250,0,885,75082,0,500
Joshua Scott,R,CA,32,2020,False,False,23624,14248,10155,9224,9400,5000,0,0,4500,0,4900
Ted Lieu,D,CA,33,2020,True,True,1661436,1582573,1944364,124059,986371,516900,0,34106,361949,2750,0
James Bradley,R,CA,33,2020,False,False,78910,79035,0,21559,60760,0,2590,-6000,55550,830,0
Jimmy Gomez,D,CA,34,2020,True,True,1401166,1268312,489519,18656,362336,991447,0,28727,314693,3000,18900
David Kim,D,CA,34,2020,False,False,193430,80381,99638,70618,108665,0,14003,144,100917,550,7135
Norma Torres,D,CA,35,2020,True,True,654727,664600,207654,29659,158593,467975,0,-1500,37549,0,0
Mike Cargile,R,CA,35,2020,False,False,36113,35915,198,6513,24600,5000,0,0,23410,0,0
Raul Ruiz,D,CA,36,2020,True,True,2402624,1732443,2316172,379040,1081308,968325,0,-26049,360354,300,3300
Erin Cruz,R,CA,36,2020,False,False,54217,53840,782,26793,21833,5280,0,311,364,0,0
Karen Bass,D,CA,37,2020,True,True,2216467,1202942,1325864,33182,746341,836472,0,600472,1368801,2000,0
Errol Webber,R,CA,37,2020,False,False,66398,174076,0,28086,25115,10000,864,2332,91342,1668,0
Linda Sanchez,D,CA,38,2020,True,True,1246008,1140165,840983,22025,189493,1031021,0,3469,72625,400,0
Gil Cisneros,D,CA,39,2020,True,False,4370133,4350464,101108,361343,2047992,1017340,511887,431570,835071,1011,50
Young Kim,R,CA,39,2020,False,True,6424556,6021651,408239,2776996,2663999,527173,0,456388,2352734,13050,51030
Lucille Roybal-Allard,D,CA,40,2020,True,True,739790,741379,38543,4296,203050,521211,0,11234,183679,1225,0
Antonio Delgado,R,CA,40,2020,False,False,85014,79270,5744,12418,21770,10300,39842,684,20470,900,150
Mark Takano,D,CA,41,2020,True,True,1020456,949494,163964,72508,612350,347364,0,-11767,287816,13550,500
Aja Smith,R,CA,41,2020,False,False,660658,659909,1016,499710,160518,5500,750,-5820,156031,2925,1000
Ken Calvert,R,CA,42,2020,True,True,1441812,1549113,410599,32289,742908,611550,0,55065,739889,0,0
Liam O'Mara,D,CA,42,2020,False,False,130065,128782,1283,63631,46850,8250,12565,-1230,34923,0,0
Maxine Waters,D,CA,43,2020,True,True,1836660,1906957,320867,53384,559463,855721,0,368092,288428,14750,140
Joe Collins,R,CA,43,2020,False,False,10556626,9921103,635523,7461154,2911280,12890,100,171202,2853357,54310,42764
Nanette Barragan,D,CA,44,2020,True,True,1173909,714023,1050752,37853,501414,634700,0,-58,403753,63,0
Katie Porter,D,CA,45,2020,True,True,16627706,6443700,10267752,8647559,7117713,923134,0,-60700,2096432,3013,10600
Greg Raths,R,CA,45,2020,False,False,1245767,1241713,1998,339942,866934,43280,5500,-9890,1200483,15019,0
Lou Correa,D,CA,46,2020,True,True,1192715,650707,1145701,18141,335642,847982,0,-9050,170766,0,1250
Alan Lowenthal,D,CA,47,2020,True,True,678648,854902,393035,32768,153751,491900,0,230,103393,2000,1000
John Briscoe,R,CA,47,2020,False,False,25302,21538,10390,778,2150,5000,0,17374,1550,0,0
Harley Rouda,D,CA,48,2020,True,False,5968858,6174443,70080,745946,3749594,1035451,0,437868,1618970,3075,5350
Michelle Steel,R,CA,48,2020,False,True,6305665,6148591,157074,1146993,2309640,400752,1879107,569173,2101233,2675,8687
Mike Levin,D,CA,49,2020,True,True,3845768,2901566,1502261,469333,2395547,771262,0,209625,1067140,3605,5068
Brian Maryott,R,CA,49,2020,False,False,2810253,2808217,11794,414252,1361892,62199,893500,78410,1325983,2000,1938
Darrell Issa,R,CA,50,2020,False,True,11239670,10947106,292563,2400314,2200459,414060,5931388,293449,2605452,2740,1218059
Ammar Campa-Najjar,D,CA,50,2020,False,False,6248210,6247762,3438,2768218,3365833,271960,0,-157802,1739019,2863,283
Juan Vargas,D,CA,51,2020,True,True,799734,801671,69739,1864,141600,614500,0,41770,135150,0,0
Juan Hidalgo,R,CA,51,2020,False,False,83730,81182,-8419,1450,77280,1000,3000,1000,17621,1000,0
Scott Peters,D,CA,52,2020,True,True,1911791,2131849,1581118,86163,562624,1210670,20555,31779,327690,3025,0
James Debello,R,CA,52,2020,False,False,233464,224630,8835,16943,149022,7500,60000,0,387455,0,0
Sara Jacobs,D,CA,53,2020,False,True,7678363,7586186,102167,54422,652888,66000,6921255,-16201,201871,100,0
Georgette Gomez,D,CA,53,2020,False,False,1691794,1663252,28542,256158,1121240,325162,2000,-12765,472104,2600,2000
Cory Gardner,R,CO,S2,2020,True,False,28075081,27302790,1049344,5865969,14824425,4059823,0,3324863,10847750,154078,1059461
John Hickenlooper,D,CO,S2,2020,False,True,43012518,41370435,1642083,14795218,25067941,786813,5600,2356945,21736831,107651,355679
Diana DeGette,D,CO,01,2020,True,True,1201026,1077130,277373,94446,468243,639050,0,-714,228593,500,0
Joseph Neguse,D,CO,02,2020,True,True,1353325,674602,893504,122399,751906,478179,0,841,301293,378,0
Charles Winn,R,CO,02,2020,False,False,98338,98338,0,15834,31259,0,50000,1245,34366,0,0
Alex Johnson,I,CO,02,2020,False,False,4782,4093,689,0,250,0,3382,0,0,0,0
Diane Mitsch Bush,D,CO,03,2020,False,False,5008274,4984238,28455,1276601,3455978,283044,7336,-14684,2314831,12539,3550
Lauren Boebert,R,CO,03,2020,False,True,2989510,2632716,356794,1391105,1299676,160474,2005,136250,1294867,18900,189887
Chris Milton,3,CO,03,2020,False,False,12012,12012,0,401,5850,0,5762,-1,5850,0,0
Ken Buck,R,CO,04,2020,True,True,478984,539393,290666,12022,126618,338600,0,1743,95585,0,19100
Ike McCorkle,D,CO,04,2020,False,False,369871,217398,152473,198279,167672,1316,28,2575,154406,137,5214
Douglas L Lamborn,R,CO,05,2020,True,True,540712,329011,428777,7037,155025,379650,0,-1000,146925,0,5300
Jillian Freeland,D,CO,05,2020,False,False,185255,175548,553,84290,70361,14000,15202,1402,63072,670,5098
Rebecca Keltie,3,CO,05,2020,False,False,2552,1495,2596,0,0,0,0,2552,0,0,0
Jason Crow,D,CO,06,2020,True,True,4136137,2892443,1289005,499325,2788460,777123,0,71230,1438568,3884,2100
Steven House,R,CO,06,2020,False,False,1200056,1198044,2012,102952,859411,144606,55977,37110,768824,5800,950
Jaimie Kulikowski,3,CO,06,2020,False,False,72293,110645,0,0,780,0,71513,0,0,0,0
Ed Perlmutter,D,CO,07,2020,True,True,1632262,1339482,1053696,116810,452427,1066800,0,-3775,256152,200,9358
Casper Stockham,R,CO,07,2020,False,False,147872,147872,0,76596,62314,9000,0,-38,42628,0,0
Anthony Malgieri,I,CO,07,2020,False,False,1930,1958,15,630,1000,0,300,0,0,0,0
John Larson,D,CT,01,2020,True,True,1377238,1323690,422375,35297,234190,1111093,0,-3343,224040,2000,4514
Mary Fay,R,CT,01,2020,False,False,26836,25118,1718,12498,13965,373,0,0,13715,0,0
Joe Courtney,D,CT,02,2020,True,True,964731,999360,715813,98418,265238,587250,105,13720,224167,50,13621
Justin Anderson,R,CT,02,2020,False,False,80227,78767,1460,17342,10496,0,52090,300,11745,0,0
Rosa L DeLauro,D,CT,03,2020,True,True,1938999,1795635,159728,130674,1004114,774300,0,29911,656276,6050,250
Margaret Streicker,R,CT,03,2020,False,False,1839080,1835385,3695,26321,346160,31334,1456345,-21080,230430,2500,1860
Justin Paglino,3,CT,03,2020,False,False,29200,28670,529,590,3048,0,25162,400,2598,50,400
Jim Himes,D,CT,04,2020,True,True,1612935,2180029,1823200,74086,555988,831650,0,151211,231355,3300,0
Jonathan Riddle,R,CT,04,2020,False,False,31591,17385,11976,5155,14850,600,10986,0,15850,0,500
Jahana Hayes,D,CT,05,2020,True,True,2037826,1564685,1029607,298233,1001343,667029,0,71221,577163,1270,31600
David Sullivan,R,CT,05,2020,False,False,397395,397370,25,116698,260103,10500,6895,3200,257179,70,0
Chris Coons,D,DE,S2,2020,True,True,7145796,6023516,1840513,338292,4401629,2377637,70509,-42274,1538522,3350,0
Lauren Witzke,R,DE,S2,2020,False,False,468650,465316,3334,244468,223062,850,25,244,211451,8762,4619
Jessica Scarane,D,DE,S2,2020,False,False,418560,355933,62628,242722,166252,7869,2124,-406,127062,500,0
James DeMartino,R,DE,S2,2020,False,False,55943,28916,27027,17233,17210,0,21500,0,13650,0,3560
Lisa Blunt Rochester,D,DE,01,2020,True,True,2024201,1305618,963766,144385,741627,1142909,0,-4720,462421,12750,2650
Lee Murphy,R,DE,01,2020,False,False,131394,131862,247,49821,60434,4633,0,16505,55046,600,2793
Matthew Morris,R,DE,01,2020,False,False,10070,10400,-100,2100,3300,0,4670,0,1650,0,0
Catherine Purcell,I,DE,01,2020,False,False,5344,5103,0,241,0,0,5103,0,0,0,0
Matt Gaetz,R,FL,01,2020,True,True,5946646,4482782,1605826,3870740,2114598,63050,0,-101743,1742528,13527,733567
Phil Ehr,D,FL,01,2020,False,False,2025099,1900451,124648,1280842,726599,25250,176,-7767,438906,250,19810
Bert Oram,I,FL,01,2020,False,False,8108,7070,1039,108,8000,0,0,0,8000,0,0
Neal Dunn,R,FL,02,2020,True,True,653488,637580,402063,11722,244700,348800,0,48266,319500,0,2000
Kristy Thripp,I,FL,02,2020,False,False,145,145,0,135,0,0,10,0,0,0,0
Kat Cammack,R,FL,03,2020,False,True,1122188,1090334,31853,77834,702925,276045,40000,25384,492279,0,27310
Adam Christensen,D,FL,03,2020,False,False,216021,219108,43481,148384,67836,6200,0,-6400,67330,500,0
John Rutherford,R,FL,04,2020,True,True,1024912,1283701,106937,18538,444550,490300,0,71524,508200,0,6550
Donna Deegan,D,FL,04,2020,False,False,1013157,1013157,0,298362,704302,22334,0,-11841,382774,1992,625
Al Lawson,D,FL,05,2020,True,True,848498,695779,167392,21951,255506,606600,0,-35558,190596,3750,13600
Gary Adler,R,FL,05,2020,False,False,146909,146909,0,5579,39365,0,101965,0,38115,0,0
Michael Waltz,R,FL,06,2020,True,True,2549667,1716768,884460,776190,1433578,494506,0,-154607,1088289,6245,283490
Clint Curtis,D,FL,06,2020,False,False,24310,22251,12647,4785,10416,0,6809,2300,10415,0,91
Gerry Nolan,I,FL,06,2020,False,False,4467,5256,-789,0,3000,0,1467,0,2900,0,0
Stephanie Murphy,D,FL,07,2020,True,True,3124692,1798549,1412017,95061,1157172,1770139,0,102320,897769,5748,28540
Leo Valentin,R,FL,07,2020,False,False,1045426,1031316,14110,109976,556352,35400,210001,133696,621302,21191,31081
Bill Garlington,I,FL,07,2020,False,False,11000,0,11000,450,10550,0,0,0,3550,0,0
Bill Posey,R,FL,08,2020,True,True,985268,1121834,169964,94338,471290,423376,0,-3736,445740,0,9950
James Kennedy,D,FL,08,2020,False,False,138568,138790,836,34827,26073,1071,75100,1497,22973,0,0
Darren Soto,D,FL,09,2020,True,True,1111750,945868,172401,12458,307809,793483,0,-2001,134533,250,500
William Olson,R,FL,09,2020,False,False,404406,401088,3318,245661,146208,5048,8300,-811,139758,805,5045
Val Demings,D,FL,10,2020,True,True,1876047,1191020,771422,166975,930083,777840,0,1148,327007,6550,3850
Vennia Francois,R,FL,10,2020,False,False,335480,332852,9289,35099,287131,13250,0,0,272212,0,14250
Kristofer Steven Lawson,I,FL,10,2020,False,False,47,47,0,47,0,0,0,0,0,0,0
Daniel Webster,R,FL,11,2020,True,True,691261,586965,210702,129339,374885,188567,0,-1530,371720,1000,750
Dana Cottrell,D,FL,11,2020,False,False,62658,62380,0,32809,29850,0,0,0,29749,0,0
Gus Bilirakis,R,FL,12,2020,True,True,1604137,1548634,75110,110986,711776,781650,0,-275,632381,26750,16275
Kim Walker,D,FL,12,2020,False,False,42802,33544,9258,790,25492,100,12921,3500,17082,875,175
Charlie Crist,D,FL,13,2020,True,True,2720646,3980695,419008,144793,1916656,720903,0,-61706,1613500,7600,500
Anna Paulina Luna,R,FL,13,2020,False,False,3302944,3262236,40708,1516523,1668235,76100,0,42087,562976,20166,45863
Kathy Castor,D,FL,14,2020,True,True,884651,1201653,423402,55173,335170,496836,0,-2528,165492,1400,200
Christine Quinn,R,FL,14,2020,False,False,242144,241187,958,19296,56723,5000,161151,-25,56546,300,0
Alan Cohn,D,FL,15,2020,False,False,2333053,2300197,32856,368742,1461117,220400,8400,274394,1296885,23622,55262
Scott Franklin,R,FL,15,2020,False,True,1663898,1638417,25481,55560,692638,362100,550000,3600,109933,250,78850
Vernon Buchanan,R,FL,16,2020,True,True,3094611,3100766,73085,93879,1365172,1398245,125000,112315,1412408,41450,0
Margaret Good,D,FL,16,2020,False,False,3411924,3407845,4080,655315,2389411,315615,3735,47848,1372357,6436,18475
Greg Steube,R,FL,17,2020,True,True,759908,621200,323776,62735,314295,351075,0,31803,334770,250,11550
Allen Ellison,D,FL,17,2020,False,False,83481,78243,6156,47278,30795,1100,1000,3308,22133,0,750
Brian Mast,R,FL,18,2020,True,True,6128177,5301307,994362,2341334,2538611,833184,0,415048,2576969,3335,394109
Pam Keith,D,FL,18,2020,False,False,1639873,1632736,7137,475954,1049865,96640,0,17414,922238,2550,6550
Byron Donalds,R,FL,19,2020,False,True,3219579,2738685,480894,1098788,1816900,320250,0,-16359,1153991,9432,55948
Cindy Banyai,D,FL,19,2020,False,False,214750,203430,11320,101678,111704,500,869,0,76180,737,1000
Alcee Hastings,D,FL,20,2020,True,True,607649,543316,149865,3909,218051,351189,0,34500,206213,9561,0
Greg Musselwhite,R,FL,20,2020,False,False,28955,27538,1418,7746,8700,0,9603,2906,4150,0,0
Lois J Frankel,D,FL,21,2020,True,True,1534882,1309786,1192171,136613,877421,530638,0,-9790,584646,1300,3250
Laura Loomer,R,FL,21,2020,False,False,2271604,2240689,30915,1131593,1138725,12200,2800,-13714,972316,12290,55367
Charleston Malkemus,I,FL,21,2020,False,False,28928,28636,292,804,500,0,27624,0,500,0,0
Ted Deutch,D,FL,22,2020,True,True,1364438,1265494,459816,39486,1033951,294597,0,-3595,762951,29700,5800
Jim Pruden,R,FL,22,2020,False,False,278416,278416,0,9323,69460,0,196233,3400,69210,0,250
Debbie Wasserman Schultz,D,FL,23,2020,True,True,2191922,1979903,616233,244658,1273036,656648,0,17580,626502,5600,1443
Carla Spalding,R,FL,23,2020,False,False,919579,903561,16018,644108,273967,2792,10,-1297,165653,635,64
Frederica Wilson,D,FL,24,2020,True,True,412592,321019,420585,2657,37760,372175,0,0,24845,1240,0
Lavern Spicer,R,FL,24,2020,False,False,34973,34909,64,3324,11750,200,22199,-2500,10950,0,0
Christine Olivo,I,FL,24,2020,False,False,31646,32898,-956,14496,7385,0,9765,0,3838,0,3547
Mario Diaz-Balart,R,FL,25,2020,True,True,1590134,804054,933244,2606,600960,986569,0,0,446659,500,0
Debbie Mucarsel-Powell,D,FL,26,2020,True,False,6793521,6822740,10598,788133,4240214,1280433,0,484741,3941407,50837,12417
Carlos Gimenez,R,FL,26,2020,False,True,2226559,2187389,39171,146564,1590411,325100,0,164484,1395299,8000,25800
Donna Shalala,D,FL,27,2020,True,False,3842907,3735966,169728,295249,2631166,812166,26737,77588,1600199,8150,9750
Maria Salazar,R,FL,27,2020,False,True,3654190,3645814,21258,596204,2573339,237500,182621,64525,1082139,0,592429
Frank Polo,I,FL,27,2020,False,False,4606,4662,-56,230,0,0,20,4356,0,0,2223
David Perdue,R,GA,S1,2020,True,False,102253913,89886197,12414002,23123738,53529954,5743577,0,19856644,74610599,1022578,6084394
Jon Ossoff,D,GA,S1,2020,False,True,153630112,149298379,4331733,69997540,75157463,862555,250000,7362555,84917981,147113,91206
